word,count
sengoku,14
hanma,14
jaku-chara,14
digimon,14
91,14
tsugeru,14
eater,14
rao,14
yuu☆yuu☆hakusho,14
cool,14
daisuki,14
oyasumi,13
dive,13
susume,13
jashin-chan,13
hyouryuu,13
nami,13
cheat,13
sotogawa,13
kyuukyoku,13
park,13
ameagari,13
yuuna,13
shiru,13
ippo,13
machine,13
kataritai,13
sankaku,13
alice,13
zetsubou,13
miru,13
crooks,13
ice,13
mousou,13
(2021),13
monogatari!!,13
iii.,13
solomon,13
naka,13
re-main,13
mado,13
precure,13
tori,13
fu,13
(not),13
shinden,13
baccano!,13
pompo-san,13
kurenai,13
nausicaä,13
zombieland,13
shuukyoku,13
baki,13
tani,13
relife,13
children,13
nijigasaki,13
doukoukai,13
sewayaki,13
owarimonogatari,13
usagi,13
kaidan,13
dairinin,13
kitsune,13
son,13
muv-luv,13
omoide,13
kidoutai:,13
tokuiten,13
otoko,13
doukyuusei,12
kiseki,12
kanketsu-hen,12
nanoru,12
ogre,12
hanyou,12
gyakkyou,12
fine,12
kimochi,12
hibike!,12
free!,12
osananajimi,12
railgun,12
eris,12
pui,12
redline,12
walküre,12
toubatsu,12
yona,12
lotus,12
yuri!!!,12
mimi,12
oniichan,12
houseki,12
sareta,12
kizumonogatari,12
otogizoushi,12
double,12
knight,12
revenge,12
re:creators,12
maou-sama!,12
panzer:,12
neue,12
shima,12
die,12
tsukaima,12
kemono,12
totsukuni,12
buddy,12
bebop:,12
umi,12
poputepipikku,12
teikoku,12
yamato,12
burai,12
nisekoi,12
eien,12
ningen,12
chihayafuru,12
barakamon,12
kaiji:,12
quest:,12
warui,12
yashahime:,12
dead,12
maou-jou,11
totoro,11
kabaneri,11
san,11
beast,11
tawawa,11
hentai,11
duel,11
futoku,11
idolish7,11
azumanga,11
haru,11
getsuyoubi,11
shoukanshi,11
shi:,11
oshimai!,11
doji,11
adachi,11
tada-kun,11
yuujinchou,11
novae,11
lu,11
persona,11
kaburu,11
jibaku,11
deau,11
dropkick,11
tsuihou,11
"tamer,",11
basho,11
nakitai,11
orient,11
shikkakumon,11
sky,11
saikyoushu,11
third,11
kakushigoto,11
saishuushou,11
koutetsujou,11
gintama°,11
ii:,11
nekomimi,11
"to,",11
hanako-kun,11
1,11
guild,11
ganbare,11
tou,11
mushikaburi-hime,11
shimamura,11
noretara,11
sensei,11
tobira,11
monsters,11
aru,11
alone,11
shoushitsu,11
hajimete,11
chikyuu,11
oshigoto,11
shiki,11
legend,11
air,11
kekkai,11
tsuyoku,11
tengoku,10
juuni,10
cike,10
kiraware,10
yo.,10
seiya,10
wanjie,10
saint,10
naisho,10
euphonium,10
kiznaiver,10
urusei,10
inuyashiki,10
koushinryou,10
haireru,10
kakushi,10
xiao,10
f,10
zensou,10
kusoge,10
daiou,10
survivor,10
kao,10
machikado,10
cangqiong:,10
mars,10
yao,10
tarumono!,10
tamago,10
mago,10
rondo,10
(2000),10
unlimited,10
wake,10
panzer,10
gaiden,10
boogiepop,10
daddies,10
tasogare,10
balance:unlimited,10
tomare!,10
chuan,10
todoke,10
tsurezure,10
rewrite,10
clannad,10
futari,10
yesterday,10
ryouiki,10
prima,10
dattara,10
inu-ou,10
koroshi,10
hotarubi,10
liuqi,10
laputa,10
hajimaru,10
kai,10
beat!,10
arknights:,10
keiji:,10
claymore,10
drop,10
douki-chan,10
shinpan,10
toki,10
fugou,10
benkyou,10
natsu,10
space☆dandy,10
yami,10
texhnolyze,9
drugstore,9
extra,9
imasu.,9
tooi,9
carnival,9
trinity,9
kougeki,9
peter,9
