title,count
Monochrome Factor,1
Ano Danchi no Tsuma-tachi wa... The Animation,1
Mahoutsukai Sally 2,1
Omoide no Marnie,1
Tensura Nikki: Tensei shitara Slime Datta Ken,1
Lupin III: Part 6 - Jidai,4
Cider no You ni Kotoba ga Wakiagaru,18
Michiko to Hatchin,1
Heisei Tanuki Gassen Ponpoko,2
Fukigen na Mononokean,1
Gunsmith Cats,2
Hentai Ouji to Warawanai Neko.: Henneko BBS,1
Shounan Bakusouzoku,1
Dragon Ball Z x Kao,2
Psycho-Pass 2,1
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,1
Tsurune: Kazemai Koukou Kyuudou-bu,3
Macross Δ Movie: Gekijou no Walküre,1
Ao Haru Ride OVA,1
Cike Wu Liuqi Fanwai,1
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,1
Aharen-san wa Hakarenai,6
Cowboy Bebop,27
AIKa,2
Hellsing,1
"Ayanami Rei, Hajimete no Kuchibeni",1
Selection Project,7
Element Hunters,1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,1
Doupo Cangqiong 4th Season,1
Appleseed,1
Night Head 2041,2
Kimi wo Aishita Hitori no Boku e,1
Gakuen Handsome,2
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",2
Tsugumomo,1
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,1
Little Witch Academia: Mahoujikake no Parade,1
Hana to Kaze no Fantasy,1
Tensai Ouji no Akaji Kokka Saisei Jutsu,1
Ys IV: The Dawn of Ys,1
Harem Time The Animation,1
Major S6,1
Sousei no Aquarion,1
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,3
Dagashi Kashi,1
3D Kanojo: Real Girl,3
SK∞,10
Gintama: The Final,12
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,1
Bai Yao Pu,1
Rokka no Yuusha,1
Virus: Virus Buster Serge,1
Change!! Getter Robo: Sekai Saigo no Hi,1
Babylon,1
Pokemon (2019),9
Kanata no Astra,9
Black★Rock Shooter (OVA),1
To LOVE-Ru,1
Black Lagoon: The Second Barrage,1
Kinnikuman II Sei: Second Generations,1
Porphy no Nagai Tabi,1
Pokemon XY&Z,1
Hikaru no Go,1
Kaze no Toori Michi,1
Kokoro ga Sakebitagatterunda.,1
Seitokai no Ichizon,1
Plastic Memories,5
Clannad,2
Uramichi Oniisan,21
Kaguya-sama wa Kokurasetai: Ultra Romantic,17
Nisekoi:,1
Mi Yu Xing Zhe,1
Hagure Yuusha no Aesthetica,1
Oneshota The Animation,1
Aoki Ryuusei SPT Layzner,1
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,3
Majo no Takkyuubin,5
Jormungand,1
Sora yori mo Tooi Basho,3
Bumblebee Hajimete no Chikyuu Seikatsu,1
Murenase! Seton Gakuen,1
Taisou Zamurai,2
Nagasarete Airantou,1
The iDOLM@STER Shiny Festa,1
Monster Musume no Oishasan,1
"Goodbye, Don Glees!",2
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,5
Natsume Yuujinchou: Hitoyoshi Kuma de no Yasashii Jikan,1
Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2
Dragon Ball Specials,1
Romantic Killer,54
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,10
5-toubun no Hanayome Movie,11
Yoru wa Mijikashi Arukeyo Otome,3
Soredemo Sekai wa Utsukushii,1
Clockwork Planet,1
Märchen Mädchen,1
Crazy Roulette,1
Milk Junkie: Shimai-hen,1
Kiniro Mosaic: Thank You!!,2
Free! Movie 4: The Final Stroke - Zenpen,1
Alice in Deadly School,1
Citrus,4
Saint☆Oniisan (Movie),1
Koukaku Kidoutai: SAC_2045,1
Chuunibyou demo Koi ga Shitai! Ren,3
Soredemo Machi wa Mawatteiru,2
Gintama°,3
Lupin III x McDonald's CMs,1
Ace wo Nerae! 2,1
Yuru Yuri♪♪,1
Dennou Coil,1
Princess Knight☆Catue DVD-BOX Special,1
Berserk: Ougon Jidai-hen - Memorial Edition,7
Kotonoha no Niwa,5
Kara no Kyoukai Movie 1: Fukan Fuukei,1
Ame wo Tsugeru Hyouryuu Danchi,11
Kunoichi Tsubaki no Mune no Uchi,1
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",30
Monkey Magic,2
Edens Zero,12
Saint Seiya,1
Kokoro Connect: Michi Random,1
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,1
Gakuen Heaven,1
Ajisai no Chiru Koro ni,1
Wu Liuqi: Zui Qiang Fa Xing Shi,1
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,1
Lapis Re:LiGHTs,1
Ginga Tetsudou 999,1
Nihon Chinbotsu 2020,3
Dragon Ball Z,5
Tsuki ga Kirei,6
Dragon Ball Super: Super Hero,13
Yi Nian Yong Heng,2
Tsurezure Children,5
Nyancos: Hello! Our Brilliant Future,1
Ladies versus Butlers!,1
Pelican Road Club Caroucha,1
Cyborg 009: The Cyborg Soldier,1
Ginga Eiyuu Densetsu,6
Ping Pong the Animation,8
K-On!,3
Yama no Susume,2
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,2
Isekai wa Smartphone to Tomo ni.,1
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,1
Prison School,5
Araburu Kisetsu no Otome-domo yo.,2
Boku no Hero Academia 4th Season,1
Yuan Long,1
Yoru ni Kakeru,1
Chou Robot Seimeitai Transformers Micron Densetsu,1
Junk Land The Animation,1
Neon Genesis Evangelion,31
Non Non Biyori,4
Mayoiga,1
